line,week,frequency,seq,part_name,standard,pic,result
AHP,42,WEEKLY,1,Ruangan luar dan dalam Hammer mill,Bebas dari debu pulp dan SAP,Packer,OK
AHP,42,WEEKLY,2,Belt Feeding SAP 1 & 2,Bebas dari kerak fluff dan SAP,OP 1,NG
AHP,42,WEEKLY,3,Chamber Drum Forming,Bebas dari kerak fluff,OP 1,OK
AHP,42,WEEKLY,4,Drum Forming,Bebas dari kerak fluff,"OP 1, OP 2, OP3",OK
AHP,42,WEEKLY,5,Gear Core pad cutter,Terdapat pelumas (Greasing Gear),OP 1,OK
AHP,42,WEEKLY,6,Gear ADL cutter,Terdapat pelumas (Greasing Gear),OP 1,OK
AHP,42,WEEKLY,7,Gear core cutter,Terdapat pelumas (Greasing Gear),OP 2,OK
AHP,42,WEEKLY,8,Pad Turning Unit (Rotator),"Bebas dari debu NWO dan akumulasi glue,Flexible hose tidak sobek dan greasing gear",OP 2,OK
AHP,42,WEEKLY,9,Picture Sheet Filter Vacumm,Bebas dari debu NWO dan tidak ada kebocoran pada flexible hose,OP 3,NG
AHP,42,WEEKLY,10,Roller bifolding vertikal dan horizontal,"Kencangkan baut, dan marking baut sejajar",OP,OK
AHP,42,WEEKLY,11,Coupling Servo Motor,"Kencangkan baut, dan marking baut sejajar",OP 3,NG
AHP,42,WEEKLY,12,Stacker,"Bebas dari debu NWO,flat belt before stacker tidak sobek/geser dan finger stacker tidak miring",OP 3 / Packer,OK
AHP,42,WEEKLY,13,All Conveyor Belt,"Bebas dari debu NWO,akumulasi glue dan pastikan kondisi baut kencang dan vacum tidak mampet (Cek standar vaccum presure switch)","OP 1,2,3",OK
AHP,42,WEEKLY,14,Lantai Mesin Bagian Depan,Bebas dari debu fluff dan NWO,Packer,OK
AHP,42,WEEKLY,15,Lantai Mesin Bagian Belakang,Bebas dari debu fluff dan NWO,Packer,OK
AHP,42,WEEKLY,16,All Unwinder Material,"Bebas dari debu fluff dan NWO,Tidak ada shaft/AS yang bocor","OP 1,2,3/Packer",OK
AHP,42,WEEKLY,17,Safety Door Acrylic,"Bebas dari debu fluff dan NWO,Acrylic tidak pecah","OP 1,2,3/Packer",OK
AHP,42,WEEKLY,18,Selang angin,Tidak ada Kebocoran angin,"OP 1,2,3",OK
AHP,42,WEEKLY,19,Timing belt,Pastikan kondisi Timing belt tidak sobek dan tidak kendur,"OP 1,2,3",OK
