task_id,line,machines,station,stations,frequency,seq,part_name,action,standard,pic_label,doc_no,doc_rev,doc_effective,source_sheet,active
43FC6CAFF8,AHP,AHP1,OP1,OP1,SHIFTLY,1,Feeding Hammer mill unit,"Bersihkan dengan cara di lap NWO kering, disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu pulp dan SAP,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
B1F5D5DC99,AHP,AHP1,OP1,OP1,SHIFTLY,2,Filter SAP 1 & 2 (atas),Bersihkan dengan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu SAP,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
6ABE063F05,AHP,AHP1,OP1,OP1,SHIFTLY,3,Filter SAP 1 & 2 (bawah),Bersihkan dengan di semprot air gun dan pastikan tidak ada debu yang menempel,Bebas dari debu SAP,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
D05B56B73D,AHP,AHP1,OP1,OP1,SHIFTLY,4,Belt Feeding SAP,Lakukan Pengecekan kondisi fisik belt (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part,Pastikan kondisi conveyor belt tidak sobek dan tidak bergeser,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
22471CA9EE,AHP,AHP1,OP1,OP1,SHIFTLY,5,Drum Forming,Bersihkan dengan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari kerak fluff,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
144C1FD633,AHP,AHP1,OP1,OP1,SHIFTLY,6,Mat press 1,Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan kebersihan Toluen,Bebas dari kerak fluff dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
7EB0DFF07D,AHP,AHP1,OP1,OP1,SHIFTLY,7,Folding tissue,Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan kebersihan Toluen,Bebas dari kerak fluff dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
64528A2A4B,AHP,AHP1,OP1,OP1,SHIFTLY,8,Folding tissue,Lakukan Pengecekan kondisi fisik flat belt (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part,Pastikan kondisi conveyor flat belt tidak sobek dan tidak bergeser,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
8B1A30218F,AHP,AHP1,OP1,OP1,SHIFTLY,9,Mat press 2,Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan kebersihan Toluen,Bebas dari kerak fluff dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
792FB399F7,AHP,AHP1,OP1,OP1,SHIFTLY,10,Grid press (Core emboss),"Bersihkan dengan disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari kerak fluff dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
